"DEP";"CANTON";"NOMCANTONMAJ";"NOMCANTON"
"01";"01";"AMBERIEU-EN-BUGEY";"Ambérieu-en-Bugey"
"01";"02";"BAGE-LE-CHATEL";"Bâgé-le-Châtel"
"01";"03";"BELLEGARDE-SUR-VALSERINE";"Bellegarde-sur-Valserine"
"01";"04";"BELLEY";"Belley"
"01";"05";"BOURG-EN-BRESSE-EST";"Bourg-en-Bresse-Est"
"01";"06";"BRENOD";"Brénod"
"01";"07";"CEYZERIAT";"Ceyzériat"
"01";"08";"CHALAMONT";"Chalamont"
"01";"09";"CHAMPAGNE-EN-VALROMEY";"Champagne-en-Valromey"
"01";"10";"CHATILLON-SUR-CHALARONNE";"Châtillon-sur-Chalaronne"
"01";"11";"COLIGNY";"Coligny"
"01";"12";"COLLONGES";"Collonges"
"01";"13";"FERNEY-VOLTAIRE";"Ferney-Voltaire"
"01";"14";"GEX";"Gex"
"01";"15";"HAUTEVILLE-LOMPNES";"Hauteville-Lompnes"
"01";"16";"IZERNORE";"Izernore"
"01";"17";"LAGNIEU";"Lagnieu"
"01";"18";"LHUIS";"Lhuis"
"01";"19";"MEXIMIEUX";"Meximieux"
"01";"20";"MONTLUEL";"Montluel"
"01";"21";"MONTREVEL-EN-BRESSE";"Montrevel-en-Bresse"
"01";"22";"NANTUA";"Nantua"
"01";"23";"OYONNAX-NORD";"Oyonnax-Nord"
"01";"24";"PONCIN";"Poncin"
"01";"25";"PONT-D'AIN";"Pont-d'Ain"
"01";"26";"PONT-DE-VAUX";"Pont-de-Vaux"
"01";"27";"PONT-DE-VEYLE";"Pont-de-Veyle"
"01";"28";"SAINT-RAMBERT-EN-BUGEY";"Saint-Rambert-en-Bugey"
"01";"29";"SAINT-TRIVIER-DE-COURTES";"Saint-Trivier-de-Courtes"
"01";"30";"SAINT-TRIVIER-SUR-MOIGNANS";"Saint-Trivier-sur-Moignans"
"01";"31";"SEYSSEL";"Seyssel"
"01";"32";"THOISSEY";"Thoissey"
"01";"33";"TREFFORT-CUISIAT";"Treffort-Cuisiat"
"01";"34";"TREVOUX";"Trévoux"
"01";"35";"VILLARS-LES-DOMBES";"Villars-les-Dombes"
"01";"36";"VIRIEU-LE-GRAND";"Virieu-le-Grand"
"01";"37";"BOURG-EN-BRESSE-NORD-CENTRE";"Bourg-en-Bresse-Nord-Centre"
"01";"38";"BOURG-EN-BRESSE-SUD";"Bourg-en-Bresse-Sud"
"01";"39";"PERONNAS";"Péronnas"
"01";"40";"MIRIBEL";"Miribel"
"01";"41";"OYONNAX-SUD";"Oyonnax-Sud"
"01";"42";"REYRIEUX";"Reyrieux"
"01";"43";"VIRIAT";"Viriat"
"02";"01";"ANIZY-LE-CHATEAU";"Anizy-le-Château"
"02";"02";"AUBENTON";"Aubenton"
"02";"03";"BOHAIN-EN-VERMANDOIS";"Bohain-en-Vermandois"
"02";"04";"BRAINE";"Braine"
"02";"05";"LA CAPELLE";"La Capelle"
"02";"06";"LE CATELET";"Le Catelet"
"02";"07";"CHARLY-SUR-MARNE";"Charly-sur-Marne"
"02";"08";"CHATEAU-THIERRY";"Château-Thierry"
"02";"09";"CHAUNY";"Chauny"
"02";"10";"CONDE-EN-BRIE";"Condé-en-Brie"
"02";"11";"COUCY-LE-CHATEAU-AUFFRIQUE";"Coucy-le-Château-Auffrique"
"02";"12";"CRAONNE";"Craonne"
"02";"13";"CRECY-SUR-SERRE";"Crécy-sur-Serre"
"02";"14";"LA FERE";"La Fère"
"02";"15";"FERE-EN-TARDENOIS";"Fère-en-Tardenois"
"02";"16";"GUISE";"Guise"
"02";"17";"HIRSON";"Hirson"
"02";"18";"LAON-NORD";"Laon-Nord"
"02";"19";"MARLE";"Marle"
"02";"20";"MOY-DE-L'AISNE";"Moÿ-de-l'Aisne"
"02";"21";"NEUFCHATEL-SUR-AISNE";"Neufchâtel-sur-Aisne"
"02";"22";"NEUILLY-SAINT-FRONT";"Neuilly-Saint-Front"
"02";"23";"LE NOUVION-EN-THIERACHE";"Le Nouvion-en-Thiérache"
"02";"24";"OULCHY-LE-CHATEAU";"Oulchy-le-Château"
"02";"25";"RIBEMONT";"Ribemont"
"02";"26";"ROZOY-SUR-SERRE";"Rozoy-sur-Serre"
"02";"27";"SAINS-RICHAUMONT";"Sains-Richaumont"
"02";"28";"SAINT-QUENTIN-CENTRE";"Saint-Quentin-Centre"
"02";"29";"SAINT-SIMON";"Saint-Simon"
"02";"30";"SISSONNE";"Sissonne"
"02";"31";"SOISSONS-NORD";"Soissons-Nord"
"02";"32";"VAILLY-SUR-AISNE";"Vailly-sur-Aisne"
"02";"33";"VERMAND";"Vermand"
"02";"34";"VERVINS";"Vervins"
"02";"35";"VIC-SUR-AISNE";"Vic-sur-Aisne"
"02";"36";"VILLERS-COTTERETS";"Villers-Cotterêts"
"02";"37";"WASSIGNY";"Wassigny"
"02";"38";"LAON-SUD";"Laon-Sud"
"02";"39";"SAINT-QUENTIN-NORD";"Saint-Quentin-Nord"
"02";"40";"SAINT-QUENTIN-SUD";"Saint-Quentin-Sud"
"02";"41";"SOISSONS-SUD";"Soissons-Sud"
"02";"42";"TERGNIER";"Tergnier"
"03";"01";"BOURBON-L'ARCHAMBAULT";"Bourbon-l'Archambault"
"03";"02";"CERILLY";"Cérilly"
"03";"03";"CHANTELLE";"Chantelle"
"03";"04";"CHEVAGNES";"Chevagnes"
"03";"05";"COMMENTRY";"Commentry"
"03";"06";"CUSSET-NORD";"Cusset-Nord"
"03";"07";"DOMPIERRE-SUR-BESBRE";"Dompierre-sur-Besbre"
"03";"08";"LE DONJON";"Le Donjon"
"03";"09";"EBREUIL";"Ébreuil"
"03";"10";"ESCUROLLES";"Escurolles"
"03";"11";"GANNAT";"Gannat"
"03";"12";"HERISSON";"Hérisson"
"03";"13";"HURIEL";"Huriel"
"03";"14";"JALIGNY-SUR-BESBRE";"Jaligny-sur-Besbre"
