"INSEE";"DEPT";"NUMCANTON"
"01003";"01";""
"01018";"01";""
"01020";"01";""
"01048";"01";""
"01055";"01";""
"01070";"01";""
"01086";"01";""
"01120";"01";""
"01126";"01";""
"01131";"01";""
"01132";"01";""
"01137";"01";""
"01161";"01";""
"01164";"01";""
"01168";"01";""
"01178";"01";""
"01201";"01";""
"01217";"01";""
"01220";"01";""
"01222";"01";""
"01223";"01";""
"01226";"01";""
"01251";"01";""
"01253";"01";""
"01256";"01";""
"01270";"01";""
"01278";"01";""
"01287";"01";""
"01315";"01";""
"01324";"01";""
"01326";"01";""
"01327";"01";""
"01377";"01";""
"01394";"01";""
"01395";"01";""
"01438";"01";""
"01440";"01";""
"01455";"01";""
"01458";"01";""
"01459";"01";""
"02045";"02";""
"02092";"02";""
"02113";"02";""
"02202";"02";""
"02247";"02";""
"02285";"02";""
"02300";"02";""
"02314";"02";""
"02365";"02";""
"02394";"02";""
"02436";"02";""
"02437";"02";""
"02603";"02";""
"02611";"02";""
"02630";"02";""
"02692";"02";""
"02700";"02";""
"02825";"02";""
"03199";"03";""
"04002";"04";""
"04003";"04";""
"04010";"04";""
"04011";"04";""
"04014";"04";""
"04015";"04";""
"04029";"04";""
"04038";"04";""
"04044";"04";""
"04048";"04";""
"04052";"04";""
"04056";"04";""
"04060";"04";""
"04064";"04";""
"04071";"04";""
"04078";"04";""
"04080";"04";""
"04082";"04";""
"04083";"04";""
"04089";"04";""
"04098";"04";""
"04103";"04";""
"04105";"04";""
"04114";"04";""
"04117";"04";""
"04119";"04";""
"04125";"04";""
"04131";"04";""
"04146";"04";""
"04147";"04";""
"04153";"04";""
"04165";"04";""
"04168";"04";""
"04185";"04";""
"04196";"04";""
"04212";"04";""
"04213";"04";""
"04215";"04";""
"04221";"04";""
"04223";"04";""
"04225";"04";""
"04232";"04";""
"04238";"04";""
"04239";"04";""
"04243";"04";""
"05015";"05";""
"05030";"05";""
"05041";"05";""
"05083";"05";""
"05105";"05";""
"05125";"05";""
"05137";"05";""
"07021";"07";""
"07043";"07";""
"07046";"07";""
"07057";"07";""
"07125";"07";""
"07164";"07";""
"07180";"07";""
"07246";"07";""
"07271";"07";""
"07320";"07";""
"08002";"08";""
"08012";"08";""
"08050";"08";""
"08051";"08";""
"08054";"08";""
"08068";"08";""
"08091";"08";""
"08093";"08";""
"08108";"08";""
"08112";"08";""
"08118";"08";""
"08127";"08";""
"08129";"08";""
"08157";"08";""
"08177";"08";""
"08181";"08";""
"08213";"08";""
"08221";"08";""
"08224";"08";""
"08227";"08";""
"08231";"08";""
"08241";"08";""
"08253";"08";""
"08258";"08";""
"08265";"08";""
"08266";"08";""
"08270";"08";""
"08285";"08";""
"08290";"08";""
"08292";"08";""
"08299";"08";""
"08337";"08";""
"08345";"08";""
"08359";"08";""
"08414";"08";""
"08423";"08";""
"08442";"08";""
"08447";"08";""
"08474";"08";""
"08495";"08";""
"09010";"09";""
"09036";"09";""
"09112";"09";""
"09144";"09";""
"09191";"09";""
"09248";"09";""
"09278";"09";""
"09288";"09";""
"09333";"09";""
"09337";"09";""
"10001";"10";""
"10016";"10";""
"10036";"10";""
"10088";"10";""
"10152";"10";""
"10244";"10";""
"10292";"10";""
"10311";"10";""
"10322";"10";""
"10385";"10";""
"10407";"10";""
"10413";"10";""
"11237";"11";""
"11349";"11";""
"11403";"11";""
"12132";"12";""
"12302";"12";""
"12306";"12";""
"13201";"13";""
"13202";"13";""
"13203";"13";""
"13204";"13";""
"13205";"13";""
"13206";"13";""
"13207";"13";""
"13208";"13";""
"13209";"13";""
"13210";"13";""
"13211";"13";""
"13212";"13";""
"13213";"13";""
"13214";"13";""
"13215";"13";""
"13216";"13";""
"14010";"14";""
"14017";"14";""
"14018";"14";""
"14048";"14";""
"14051";"14";""
"14067";"14";""
"14071";"14";""
"14072";"14";""
"14094";"14";""
"14095";"14";""
"14108";"14";""
"14112";"14";""
"14114";"14";""
"14133";"14";""
"14199";"14";""
"14233";"14";""
"14234";"14";""
"14247";"14";""
"14262";"14";""
"14263";"14";""
"14267";"14";""
"14295";"14";""
"14314";"14";""
"14315";"14";""
"14321";"14";""
"14323";"14";""
"14340";"14";""
"14351";"14";""
"14363";"14";""
"14392";"14";""
"14428";"14";""
"14434";"14";""
"14447";"14";""
"14451";"14";""
"14463";"14";""
"14464";"14";""
"14470";"14";""
"14472";"14";""
"14479";"14";""
"14485";"14";""
"14490";"14";""
"14507";"14";""
"14526";"14";""
"14537";"14";""
"14560";"14";""
"14561";"14";""
"14567";"14";""
"14594";"14";""
"14612";"14";""
"14617";"14";""
"14624";"14";""
"14631";"14";""
"14641";"14";""
"14642";"14";""
"14673";"14";""
"14683";"14";""
"14725";"14";""
"14736";"14";""
"15023";"15";""
"15039";"15";""
"15062";"15";""
"15109";"15";""
"15115";"15";""
"15177";"15";""
"15193";"15";""
"15210";"15";""
"15239";"15";""
"16006";"16";""
"16022";"16";""
"16080";"16";""
"16126";"16";""
"16159";"16";""
"16219";"16";""
"16235";"16";""
"16265";"16";""
"16266";"16";""
"16278";"16";""
"16288";"16";""
"16299";"16";""
"16305";"16";""
"16311";"16";""
"16313";"16";""
"16319";"16";""
"16324";"16";""
"16327";"16";""
"16333";"16";""
"16367";"16";""
"16407";"16";""
"17001";"17";""
"17014";"17";""
"17088";"17";""
"17090";"17";""
"17123";"17";""
"17144";"17";""
"17170";"17";""
"17251";"17";""
"17368";"17";""
"17370";"17";""
"17399";"17";""
"17419";"17";""
"17456";"17";""
"17475";"17";""
"19197";"19";""
"19224";"19";""
"19267";"19";""
"2A";"00173";"00"
"2A";"00401";"00"
"2A";"00463";"00"
"2A";"00464";"00"
"2A";"00465";"00"
"2A";"00466";"00"
"2A";"00472";"00"
"2A";"00473";"00"
"2A";"00498";"00"
"2A";"00673";"00"
"2A";"00848";"00"
"2A";"01155";"01"
"2A";"01451";"01"
"2A";"01773";"01"
"2A";"01830";"01"
"2A";"01961";"01"
"2A";"02134";"02"
"2A";"02251";"02"
"2A";"02455";"02"
"2A";"02648";"02"
"2A";"02751";"02"
"2A";"02861";"02"
"2A";"03102";"03"
"2A";"03273";"03"
"2A";"03553";"03"
"2A";"03853";"03"
"2A";"04006";"04"
"2A";"04107";"04"
"2A";"04851";"04"
"2A";"05648";"05"
"2A";"06051";"06"
"2A";"06122";"06"
"2A";"06206";"06"
"2A";"06448";"06"
"2A";"06535";"06"
"2A";"06655";"06"
"2A";"07051";"07"
"2A";"07134";"07"
"2A";"08502";"08"
"2A";"08962";"08"
"2A";"09061";"09"
"2A";"09148";"09"
"2A";"09240";"09"
"2A";"09462";"09"
"2A";"09848";"09"
"2A";"09962";"09"
"2A";"10035";"10"
