"INSEE";"DEPT";"NUMCANTON"
"01001";"01";"10"
"01002";"01";"01"
"01004";"01";"01"
"01005";"01";"30"
"01006";"01";"04"
"01007";"01";"01"
"01008";"01";"17"
"01009";"01";"04"
"01010";"01";"31"
"01011";"01";"22"
"01012";"01";"15"
"01013";"01";"28"
"01014";"01";"23"
"01015";"01";"04"
"01016";"01";"26"
"01017";"01";"28"
"01019";"01";"36"
"01021";"01";"42"
"01022";"01";"09"
"01023";"01";"02"
"01024";"01";"21"
"01025";"01";"02"
"01026";"01";"02"
"01027";"01";"20"
"01028";"01";"30"
"01029";"01";"11"
"01030";"01";"34"
"01031";"01";"41"
"01032";"01";"20"
"01033";"01";"03"
"01034";"01";"04"
"01035";"01";"23"
"01036";"01";"09"
"01037";"01";"18"
"01038";"01";"11"
"01039";"01";"09"
"01040";"01";"21"
"01041";"01";"01"
"01042";"01";"27"
"01043";"01";"40"
"01044";"01";"03"
"01045";"01";"35"
"01046";"01";"10"
"01047";"01";"17"
"01049";"01";"20"
"01050";"01";"26"
"01051";"01";"16"
"01052";"01";"35"
"01053";"01";"05"
"01053";"01";"37"
"01053";"01";"38"
"01053";"01";"99"
"01054";"01";"19"
"01056";"01";"24"
"01057";"01";"26"
"01058";"01";"04"
"01059";"01";"09"
"01060";"01";"06"
"01061";"01";"04"
"01062";"01";"20"
"01063";"01";"22"
"01064";"01";"18"
"01065";"01";"43"
"01066";"01";"36"
"01067";"01";"16"
"01068";"01";"24"
"01069";"01";"25"
"01071";"01";"14"
"01072";"01";"07"
"01073";"01";"36"
"01074";"01";"08"
"01075";"01";"30"
"01076";"01";"28"
"01077";"01";"24"
"01078";"01";"12"
"01079";"01";"09"
"01080";"01";"06"
"01081";"01";"03"
"01082";"01";"31"
"01083";"01";"30"
"01084";"01";"10"
"01085";"01";"35"
"01087";"01";"22"
"01088";"01";"19"
"01089";"01";"01"
"01090";"01";"08"
"01091";"01";"03"
"01092";"01";"08"
"01093";"01";"10"
"01094";"01";"26"
"01095";"01";"33"
"01096";"01";"10"
"01097";"01";"09"
"01098";"01";"04"
"01099";"01";"17"
"01100";"01";"36"
"01101";"01";"06"
"01102";"01";"26"
"01103";"01";"14"
"01104";"01";"12"
"01105";"01";"42"
"01106";"01";"07"
"01107";"01";"28"
"01108";"01";"11"
"01109";"01";"12"
"01110";"01";"04"
"01111";"01";"28"
"01112";"01";"06"
"01113";"01";"10"
"01114";"01";"12"
"01115";"01";"21"
"01116";"01";"36"
"01117";"01";"04"
"01118";"01";"31"
"01119";"01";"06"
"01121";"01";"15"
"01122";"01";"15"
"01123";"01";"27"
"01124";"01";"29"
"01125";"01";"33"
"01127";"01";"33"
"01128";"01";"29"
"01129";"01";"08"
"01130";"01";"21"
"01133";"01";"04"
"01134";"01";"27"
"01135";"01";"14"
"01136";"01";"27"
"01138";"01";"31"
"01139";"01";"29"
"01140";"01";"21"
"01141";"01";"36"
"01142";"01";"20"
"01143";"01";"14"
"01144";"01";"02"
"01145";"01";"25"
"01146";"01";"10"
"01147";"01";"11"
"01148";"01";"23"
"01149";"01";"01"
"01150";"01";"07"
"01151";"01";"25"
"01152";"01";"23"
"01153";"01";"14"
"01154";"01";"21"
"01155";"01";"28"
"01156";"01";"19"
"01157";"01";"30"
"01158";"01";"12"
"01159";"01";"02"
"01160";"01";"13"
"01162";"01";"36"
"01163";"01";"21"
"01165";"01";"30"
"01166";"01";"34"
"01167";"01";"32"
"01169";"01";"32"
"01170";"01";"22"
"01171";"01";"41"
"01172";"01";"33"
"01173";"01";"14"
"01174";"01";"03"
"01175";"01";"26"
"01176";"01";"06"
"01177";"01";"07"
"01179";"01";"27"
"01180";"01";"14"
"01181";"01";"41"
"01182";"01";"18"
"01183";"01";"32"
"01184";"01";"07"
"01185";"01";"15"
"01186";"01";"28"
"01187";"01";"06"
"01188";"01";"32"
"01189";"01";"03"
"01190";"01";"18"
"01191";"01";"06"
"01192";"01";"16"
"01193";"01";"04"
"01194";"01";"34"
"01195";"01";"07"
"01196";"01";"21"
"01197";"01";"25"
"01198";"01";"19"
"01199";"01";"24"
"01200";"01";"24"
"01202";"01";"17"
"01203";"01";"27"
"01204";"01";"22"
"01205";"01";"12"
"01206";"01";"06"
"01207";"01";"35"
"01208";"01";"04"
"01209";"01";"12"
"01210";"01";"14"
"01211";"01";"39"
"01212";"01";"29"
"01213";"01";"17"
"01214";"01";"16"
"01215";"01";"03"
"01216";"01";"18"
"01218";"01";"09"
"01219";"01";"18"
"01221";"01";"09"
"01224";"01";"17"
"01225";"01";"30"
"01227";"01";"04"
"01228";"01";"22"
"01229";"01";"21"
"01230";"01";"29"
"01231";"01";"02"
"01232";"01";"11"
"01233";"01";"18"
"01234";"01";"36"
"01235";"01";"35"
"01236";"01";"21"
"01237";"01";"41"
"01238";"01";"42"
"01239";"01";"04"
"01240";"01";"16"
"01241";"01";"33"
"01242";"01";"24"
"01243";"01";"30"
"01244";"01";"19"
"01245";"01";"07"
"01246";"01";"10"
"01247";"01";"14"
"01248";"01";"42"
"01249";"01";"40"
"01250";"01";"42"
"01252";"01";"32"
"01254";"01";"39"
"01255";"01";"18"
"01257";"01";"03"
"01258";"01";"32"
"01259";"01";"43"
"01260";"01";"19"
"01261";"01";"35"
"01262";"01";"20"
"01263";"01";"32"
"01264";"01";"39"
"01265";"01";"22"
"01266";"01";"21"
"01267";"01";"16"
"01268";"01";"04"
"01269";"01";"22"
"01271";"01";"04"
"01272";"01";"10"
"01273";"01";"25"
"01274";"01";"22"
"01275";"01";"40"
