001-01;01016,01024,01029,01038,01040,01050,01057,01065,01069,01072,01094,01095,01102,01106,01108,01115,01124,01125,01127,01128,01130,01139,01140,01145,01147,01150,01151,01154,01163,01172,01175,01177,01184,01195,01196,01197,01212,01229,01230,01232,01236,01241,01245,01259,01266,01273,01284,01296,01301,01304,01305,01309,01312,01314,01317,01321,01323,01337,01344,01346,01350,01352,01364,01367,01374,01375,01380,01387,01388,01391,01402,01406,01408,01422,01425,01426,01429,01430,01432,01433,01437,01445,01447,01451
001-04;01001,01005,01023,01025,01026,01028,01042,01045,01046,01052,01074,01075,01083,01084,01085,01090,01092,01093,01096,01113,01123,01129,01134,01136,01144,01146,01157,01159,01165,01167,01169,01179,01183,01188,01203,01207,01211,01225,01231,01235,01243,01246,01252,01254,01258,01261,01263,01264,01272,01289,01291,01295,01299,01306,01319,01320,01328,01332,01334,01335,01336,01343,01348,01351,01355,01356,01359,01365,01368,01369,01370,01371,01381,01382,01383,01385,01389,01393,01398,01405,01412,01420,01428,01434,01439,01443,01446,01449,01457
006-01;
006-02;06001,06002,06003,06005,06008,06009,06016,06017,06021,06022,06024,06025,06026,06028,06033,06040,06041,06045,06047,06050,06051,06052,06053,06056,06058,06061,06063,06064,06065,06066,06070,06071,06076,06078,06081,06082,06087,06093,06094,06095,06096,06097,06098,06099,06100,06101,06106,06107,06115,06116,06118,06122,06124,06125,06130,06131,06133,06134,06135,06137,06139,06140,06141,06143,06144,06145,06146,06154,06157,06158,06160
006-03;06060,06114,06149
006-05;06006,06013,06020,06034,06042,06046,06055,06072,06073,06074,06075,06080,06102,06103,06109,06110,06111,06117,06119,06120,06126,06127,06129,06147,06151,06153,06156
006-07;06004,06010,06018,06037,06038,06049,06068,06089,06105,06112,06148,06152
006-08;06029,06079,06138
006-09;06007,06030,06084,06085,06090,06108
008-01;08001,08003,08004,08005,08008,08010,08014,08015,08016,08021,08024,08026,08027,08030,08032,08037,08038,08039,08040,08041,08042,08044,08046,08047,08048,08060,08062,08064,08066,08069,08070,08073,08076,08079,08080,08084,08087,08094,08095,08096,08099,08100,08102,08107,08111,08113,08117,08124,08126,08132,08133,08140,08141,08143,08144,08146,08148,08149,08150,08152,08154,08156,08158,08163,08165,08167,08169,08172,08173,08178,08180,08182,08187,08189,08192,08195,08196,08199,08201,08203,08205,08208,08209,08210,08219,08225,08228,08229,08234,08235,08236,08239,08240,08243,08248,08251,08254,08257,08262,08263,08272,08273,08277,08283,08286,08287,08288,08295,08298,08305,08306,08307,08313,08314,08315,08318,08319,08320,08323,08324,08327,08329,08330,08334,08335,08339,08340,08341,08344,08348,08352,08356,08360,08362,08366,08368,08369,08370,08372,08373,08380,08381,08382,08385,08386,08388,08395,08396,08397,08400,08402,08403,08404,08413,08415,08416,08418,08419,08420,08422,08426,08427,08428,08435,08438,08440,08449,08451,08452,08454,08465,08467,08468,08469,08472,08473,08476,08478,08479,08480,08482,08483,08484,08488,08492,08496,08499,08500,08503
008-02;08011,08022,08028,08058,08071,08078,08081,08106,08110,08121,08122,08125,08137,08139,08155,08160,08162,08166,08175,08183,08185,08188,08190,08202,08206,08207,08212,08214,08216,08217,08218,08222,08226,08230,08237,08242,08247,08249,08260,08282,08284,08297,08302,08304,08312,08316,08322,08328,08346,08353,08355,08358,08361,08363,08365,08367,08389,08408,08417,08429,08432,08436,08448,08450,08456,08457,08460,08486,08487,08497,08498
010-01;10002,10004,10005,10006,10007,10008,10010,10011,10012,10014,10015,10017,10019,10021,10026,10027,10032,10033,10035,10039,10041,10043,10044,10045,10046,10047,10048,10050,10052,10056,10059,10061,10063,10064,10065,10069,10071,10072,10073,10075,10076,10077,10078,10082,10084,10086,10089,10090,10091,10093,10094,10095,10097,10101,10102,10103,10105,10113,10115,10117,10119,10121,10123,10126,10127,10128,10129,10130,10131,10132,10135,10136,10137,10138,10139,10141,10144,10149,10150,10151,10155,10160,10161,10163,10165,10166,10167,10171,10172,10174,10175,10176,10178,10180,10182,10183,10184,10187,10189,10191,10192,10193,10194,10195,10197,10199,10200,10203,10205,10206,10207,10210,10213,10214,10215,10216,10217,10219,10221,10228,10230,10233,10234,10235,10236,10239,10242,10243,10250,10252,10253,10256,10257,10258,10264,10267,10269,10270,10272,10273,10279,10283,10285,10286,10287,10289,10293,10297,10299,10300,10303,10304,10305,10306,10310,10313,10314,10315,10316,10320,10326,10327,10328,10330,10336,10337,10338,10345,10346,10352,10353,10354,10356,10357,10361,10364,10365,10366,10368,10369,10372,10374,10376,10377,10378,10379,10380,10384,10386,10389,10390,10391,10392,10393,10397,10398,10400,10401,10403,10404,10405,10408,10409,10411,10412,10423,10424,10426,10428,10429,10430,10436,10438,10439,10440,10442,10445
010-02;10003,10009,10013,10018,10022,10024,10025,10028,10029,10034,10037,10040,10042,10049,10051,10053,10055,10058,10060,10062,10066,10067,10068,10070,10074,10079,10080,10083,10087,10092,10096,10098,10099,10100,10104,10107,10108,10109,10110,10111,10112,10116,10118,10120,10122,10133,10140,10142,10143,10147,10156,10158,10159,10162,10168,10170,10173,10177,10179,10181,10185,10186,10188,10190,10196,10198,10201,10202,10204,10209,10212,10218,10222,10226,10227,10229,10232,10238,10240,10241,10245,10246,10247,10249,10251,10255,10260,10261,10262,10263,10266,10276,10278,10288,10294,10295,10296,10302,10307,10309,10312,10317,10319,10324,10325,10329,10331,10332,10333,10335,10340,10342,10343,10344,10350,10358,10359,10360,10363,10371,10373,10375,10388,10394,10395,10396,10399,10402,10406,10415,10416,10417,10418,10419,10422,10425,10427,10431,10432,10433,10434,10435,10437,10441,10443,10444
010-03;10020,10023,10030,10031,10038,10054,10057,10081,10085,10106,10114,10124,10125,10134,10145,10146,10148,10153,10154,10157,10164,10169,10208,10211,10220,10223,10224,10225,10231,10237,10248,10254,10259,10265,10268,10271,10274,10275,10277,10280,10281,10282,10284,10290,10291,10298,10301,10308,10318,10321,10323,10334,10339,10341,10347,10348,10349,10351,10355,10362,10367,10370,10381,10382,10383,10410,10414,10420,10421
011-01;11001,11006,11012,11013,11022,11023,11025,11027,11037,11041,11042,11043,11048,11056,11064,11068,11071,11075,11077,11079,11081,11085,11088,11092,11095,11098,11099,11102,11110,11111,11122,11124,11125,11126,11132,11140,11146,11148,11151,11152,11154,11157,11164,11172,11174,11176,11180,11190,11194,11198,11200,11201,11203,11205,11210,11212,11215,11220,11221,11222,11223,11232,11233,11241,11248,11256,11257,11261,11267,11269,11272,11273,11279,11280,11286,11296,11297,11301,11305,11315,11318,11319,11324,11330,11332,11337,11342,11345,11351,11353,11360,11366,11368,11369,11372,11390,11391,11393,11395,11396,11397,11405,11410,11411,11413,11416,11422,11425,11426,11429,11431,11433,11436
