"com_insee";"circo";"status"
"01008";"001-02";"good"
"01021";"001-02";"good"
"01027";"001-02";"good"
"01030";"001-02";"good"
"01032";"001-02";"good"
"01043";"001-02";"good"
"01047";"001-02";"good"
"01049";"001-02";"good"
"01054";"001-02";"good"
"01062";"001-02";"good"
"01088";"001-02";"good"
"01099";"001-02";"good"
"01105";"001-02";"good"
"01142";"001-02";"good"
"01156";"001-02";"good"
"01166";"001-02";"good"
"01194";"001-02";"good"
"01198";"001-02";"good"
"01202";"001-02";"good"
"01213";"001-02";"good"
"01224";"001-02";"good"
"01238";"001-02";"good"
"01244";"001-02";"good"
"01248";"001-02";"good"
"01249";"001-02";"good"
"01250";"001-02";"good"
"01260";"001-02";"good"
"01262";"001-02";"good"
"01275";"001-02";"good"
"01276";"001-02";"good"
"01285";"001-02";"good"
"01290";"001-02";"good"
"01297";"001-02";"good"
"01318";"001-02";"good"
"01322";"001-02";"good"
"01325";"001-02";"good"
"01333";"001-02";"good"
"01339";"001-02";"good"
"01342";"001-02";"good"
"01347";"001-02";"good"
"01349";"001-02";"good"
"01353";"001-02";"good"
"01361";"001-02";"good"
"01362";"001-02";"good"
"01366";"001-02";"good"
"01376";"001-02";"good"
"01378";"001-02";"good"
"01386";"001-02";"good"
"01390";"001-02";"good"
"01396";"001-02";"good"
"01411";"001-02";"good"
"01418";"001-02";"good"
"01423";"001-02";"good"
"01424";"001-02";"good"
"01427";"001-02";"good"
"01431";"001-02";"good"
"01444";"001-02";"good"
"01450";"001-02";"good"
"01006";"001-03";"good"
"01009";"001-03";"good"
"01010";"001-03";"good"
"01015";"001-03";"good"
"01033";"001-03";"good"
"01034";"001-03";"good"
"01044";"001-03";"good"
"01058";"001-03";"good"
"01061";"001-03";"good"
"01071";"001-03";"good"
"01078";"001-03";"good"
"01081";"001-03";"good"
"01082";"001-03";"good"
"01091";"001-03";"good"
"01098";"001-03";"good"
"01103";"001-03";"good"
"01104";"001-03";"good"
"01109";"001-03";"good"
"01110";"001-03";"good"
"01114";"001-03";"good"
"01117";"001-03";"good"
"01118";"001-03";"good"
"01133";"001-03";"good"
"01135";"001-03";"good"
"01138";"001-03";"good"
"01143";"001-03";"good"
"01153";"001-03";"good"
"01158";"001-03";"good"
"01160";"001-03";"good"
"01173";"001-03";"good"
"01174";"001-03";"good"
"01180";"001-03";"good"
